cod_cnes,competencia,cod_proced,cod_cbo,qtd_apresentada,qtd_aprovada,val_apresentado,val_aprovado,situacao
5366828,2026-04-01,0202010643,221105,7,7,14.07,14.07,
5366828,2026-04-01,0202010643,223415,38,38,76.38,76.38,
5366828,2026-04-01,0202010643,225320,1,1,2.01,2.01,
5366828,2026-04-01,0202010651,221105,8,8,16.08,16.08,
5366828,2026-04-01,0202010651,223415,38,38,76.38,76.38,
5366828,2026-04-01,0202010651,225320,1,1,2.01,2.01,
5366828,2026-04-01,0202010694,221105,48,48,88.80,88.80,
5366828,2026-04-01,0202010694,223415,351,351,649.35,649.35,
5366828,2026-04-01,0202010694,225125,2,2,3.70,3.70,
5366828,2026-04-01,0202010694,225320,7,7,12.95,12.95,
5366828,2026-04-01,0202010732,221105,3,3,46.95,46.95,
5366828,2026-04-01,0202010732,223415,28,28,438.20,438.20,
5366828,2026-04-01,0202020134,221105,7,7,40.39,40.39,
5366828,2026-04-01,0202020134,223415,44,44,253.88,253.88,
5366828,2026-04-01,0202020142,221105,14,14,38.22,38.22,
5366828,2026-04-01,0202020142,223415,71,71,193.83,193.83,
5366828,2026-04-01,0202020150,223415,1,1,2.73,2.73,
5366828,2026-04-01,0202020215,221105,1,1,8.09,8.09,
5366828,2026-04-01,0202020363,223415,8,8,21.84,21.84,
5366828,2026-04-01,0202020380,221105,79,79,324.69,324.69,
5366828,2026-04-01,0202020380,223415,498,498,2046.78,2046.78,
5366828,2026-04-01,0202020380,225124,1,1,4.11,4.11,
5366828,2026-04-01,0202020380,225125,3,3,12.33,12.33,
5366828,2026-04-01,0202020380,225320,15,15,61.65,61.65,
5366828,2026-04-01,0202020541,223415,1,1,2.73,2.73,
5366828,2026-04-01,0202030202,221105,59,59,166.97,166.97,
5366828,2026-04-01,0202030202,223415,311,311,880.13,880.13,
5366828,2026-04-01,0202030202,225124,1,1,2.83,2.83,
5366828,2026-04-01,0202030202,225125,16,16,45.28,45.28,
5366828,2026-04-01,0202030202,225225,1,1,2.83,2.83,
5366828,2026-04-01,0202030202,225250,1,1,2.83,2.83,
5366828,2026-04-01,0202030202,225320,4,4,11.32,11.32,
5366828,2026-04-01,0202030636,223415,1,1,18.55,18.55,
5366828,2026-04-01,0202030784,223415,6,6,111.30,111.30,
5366828,2026-04-01,0202030849,225270,1,1,17.16,17.16,
5366828,2026-04-01,0202030890,223415,10,10,185.50,185.50,
5366828,2026-04-01,0202031110,223415,3,3,8.49,8.49,
5366828,2026-04-01,0202031209,223415,155,155,1395.00,1395.00,
5366828,2026-04-01,0202031209,225125,6,6,54.00,54.00,
5366828,2026-04-01,0202031209,225320,25,25,225.00,225.00,
5366828,2026-04-01,0202031446,221105,1,1,18.55,18.55,
5366828,2026-04-01,0202031446,223415,6,6,111.30,111.30,
5366828,2026-04-01,0202031470,223415,3,3,55.65,55.65,
5366828,2026-04-01,0202031500,221105,1,1,10.00,10.00,
